"","soundFile","trialnum","condition","random_block_key_resp.rt","random_block_key_resp.keys","structured_block_key_resp.rt","structured_block_key_resp.keys","starget","Run","PartID","ttarget","expName"
"692","3A.wav",572,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"693","1C.wav",573,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"694","1B.wav",574,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"695","3C.wav",575,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"696","1A.wav",576,"R",NA,"None",NA,"","bi",2,"f006","1C","auditory"
"697","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"698","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"699","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"700","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"701","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"702","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"703","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"704","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"705","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"706","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"707","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"708","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"709","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"710","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"711","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"712","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"713","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"714","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
"715","",NA,"",NA,"",NA,"","bi",2,"f006","1C","auditory"
